station_id,source_year,example_local_path
716279-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71627999999.csv
716300-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71630099999.csv
716310-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71631099999.csv
716330-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71633099999.csv
716340-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71634099999.csv
716380-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71638099999.csv
716400-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71640099999.csv
716420-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71642099999.csv
716440-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71644099999.csv
716670-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71667099999.csv
716690-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71669099999.csv
716700-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71670099999.csv
716710-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71671099999.csv
716790-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71679099999.csv
716810-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71681099999.csv
716830-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71683099999.csv
716860-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71686099999.csv
716870-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71687099999.csv
716880-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71688099999.csv
716910-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71691099999.csv
716940-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71694099999.csv
716970-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71697099999.csv
717010-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71701099999.csv
717020-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71702099999.csv
717050-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71705099999.csv
